"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Street Dogs of South Central","Bill Marin","Queen Latifah","","",2013,"ALL","83 min","Documentary","Street Dogs of South Central is a documentary narrated by Queen Latifah that follows Elsie, a black Labrador mix, and her struggle to raise her puppies on the streets of Los Angeles."
"I Am Dragon","Indar Dzhendubaev","Matvey Lykov, Mariya Poezzhaeva","","",2017,"16+","107 min","Action, Fantasy","In the midst of her wedding, Princess Miroslava is kidnapped by a dragon and carried away into his castle on a remote island. Now the only things Mira has are a stone cage and a mysterious young man named Arman... but who is he and what is he doing on that island? Miroslava will know the truth too late: loving a dragon will reveal the bitter truth."
"Double Down","Sterling Macer Jr.","Sterling Macer Jr, Jaimi Paige, Victor H Lopez, Shashawnee Hall","","",2020,"16+","109 min","Drama, Suspense","Vincent Jamison, a failing bond trader, agrees to a fateful bet, only to make a devastating discovery about the actual circumstances of his life."
"Crucifixion Quake","Marco Bazzi","","","",2020,"13+","103 min","Documentary, Faith and Spirituality, Special Interest","Geologist goes on a 20 year quest to determine if the physical events reported on the day of the Crucifixion happened as narrated."
"Creature from Big Muddy: An Illinois Bigfoot Legend","Joseph C Tury","Chad Lewis, Kevin Lee Nelson, Michael Huntington, Tony Gerard, Coyote Chris Sutton, Bob Musgrave, Bruce Cline, Christian Baril, Bob Reiman, Jessica Van Pelt, Zach D Starrick, Ben Bishop","","",2021,"13+","63 min","Documentary, Horror","In the early 1970's in Murphysboro, Illinois, the town was terrorized by a creature that was thought to come out of a local river called the Big Muddy. It was described as an eight foot tall, bigfoot-like creature. Featuring authors of the strange, Chad Lewis and Kevin Lee Nelson, this is an investigative look into the legend of The Big Muddy Monster."
"Chocolate Kiss","Melissa Talbot, Mike Jeffers","Ed Donaldson, Kristin Clarke, Jenia Head, Shatyrah Dexter","","",2020,"13+","89 min","Comedy, Romance","Learning to love again is a challenging task, and even more challenging when running your own business. Will the past of Ashley Valentine cause her to miss out on love? Or will she recognize the love that's been there all along?"
"Bayou Caviar","Cuba Gooding,  Jr.","Cuba Gooding,  Jr., Famke Janssen, Richard Dreyfuss, Lia Marie Johnson, Katharine McPhee, Gregg Bello, Ken Lerner, Sam Thakur","","",2018,"18+","111 min","Action, Suspense","Oscar winner Cuba Gooding, Jr.'s directorial debut is a thrilling story of sex, murder and revenge set in Louisiana. Also starring Oscar winner Richard Dreyfus, Famke Janssen (X-Men: Days of Future Past) and Katharine McPhee (Scorpion)."
"Yevanavan","Natty Kumar","Sonia Agarwal, Akil Santhosh, Vincent Asokan, Delhi Ganesh","","",2017,"ALL","125 min","Drama","A woman's fiance becomes a prime suspect after she is kidnapped."
"Under Crystal Lake","Kris Kertanian","Ken Hebert, Cliff Potts, Susanne Lavelle, Charles Dierkop","","",2021,"18+","97 min","Action","Based on a series of true events, an 80's story told during the drought in San Joaquin valley, when the water and drugs were controlled by one man, Mr Swan. When the dry farms cry for water at the town hall meetings, the only person standing up for the town gets killed. After loosing his best friend, girlfriend and conflict with his brother, the town is turned upside down."
"Tokoloshe The Calling","Richard Green","Sibongiseni Shezi, Lloyd Grant O 'Connor, Lwandile Xaba, Angela Balkovic, Sanjay Laljith, Rubrendra Govender, Roelof Twijnstra, Arish Sirkissoon, Neerusha Oogorah","","",2021,"18+","75 min","Horror","A famous writer takes his young family to a quiet hotel to finish his much-anticipated novel, but he never imagines that the hotel's troubled past can evoke more nightmares that his fevered imagination could ever dream of."
"Thuppakki Munai","Dinesh Selvaraj","Vikram Prabhu, Hansika Motwani, M. S. Bhaskar, Ammu Abhirami, Aadukalam Naren","","",2018,"13+","116 min","Action, Suspense","An encounter specialist's success in hunting down and eliminating criminals takes him to the holy city of Rameshwaram, where he will face the biggest threat of his career."
"The Shattering","Daria Nazarova","Murisa Harba, Timothy Ryan Cole, Charlotte Beckett","","",2021,"16+","78 min","Drama, Horror, Suspense","Claire has it all. A loving husband, wealth, and a baby on the way. As her due date looms, events take an unexpected turn and reality begins to shatter. When a beautiful psychiatrist arrives, can Claire uncover the truth? Or will the secrets kill her?"
"The Secret Life of the Cruise","Ben Ryder","","","",2018,"7+","67 min","Documentary","A floating city on the sea, the MSC Seaside is one of the biggest cruise ships in the world. With privileged access to every part of the cruise's operation, this film uncovers the army of people and complex systems that keep this extraordinary ship at the top of its game. Full of surprising facts, this captivating programme reveals life on board in a way that viewers have never seen before"
"The Preacher and the Gun","Scott Hester","Dennis Cole, Wendy Cole, Rich Henrich","","",2013,"13+","79 min","Western","As they find out the Railroad will be bypassing their town, Stephen and his wife find themselves along with everyone else in town struggling with the forces of greed and their own faith to overcome fear even to the point of death."
"The Neon Dead","Torey Haas","Mark Ashworth, Candace Mabry, Marie Barker, Greg Garrison","","",2017,"16+","81 min","Action, Comedy, Science Fiction","A young woman hires paranormal exterminators to combat a monster infestation in her new home. But prodding into the house unleashes an ancient demon and his army of monsters, intent to possess any human they make contact with."
"The Karma Effect","Jimmy Dasaint","Bobby Rand, Nacirema Ledom, Tiona Brown, Edward Furguson, Ammanuelle Woodard, Qeiyona Ne'cole, Tiffany Henderson, Dolly Parks, Lauren Mack, Markee Djordan, Cathy Dance, Pozelini, Rev. Dr. Alyne Waller, Harper Mann, Jimmy Dasaint","","",2021,"18+","67 min","Action, Drama","After serving five years in prison, Raymond 'Karma'Jackson has returned back home to a world of chaos and heartache. After finding out that his younger sister has been sexually molested and commits suicide, Karma sets out on a personal vendetta to find the man who is responsible for her death."
"The Immortals","Ryan Keating, Daniel Dollase, Zoe Tweedie","Daniel Dollase, Zoe Tweedie, Kyle Berdin, Alec Ferguson, Kayla Del Valle, Evan Graham, Tyler Pal, Ella Malatesta, Christopher Coulter, Julian Figueroa, Hanne Ladefoged-Dollase, David Dollase, Joseph Ellis, Michael Bermel, Kamryn Koerner, Emma Dollase, Harold Fahrer, Quincy James, Alyssa Argondizzo, Timothy Mein, Mrs. Fitzgerald","","",2021,"13+","54 min","Action, Drama, Science Fiction","After he learns he harnesses the power of telekinesis, normal high school-er Jack is swept up into a life of crime by Felix, the charismatic leader of a local anti-hero group. As he bonds with his new friends Felix, Piper, Vera, and Duke, he is asked to help them with their most challenging heist yet. But, what he finds is that the greatest challenge lies among the teens themselves."
"The Heartthrob","Francisco Ramalho Jr.","Thiago Fragoso, Luiz Henrique Nogueira, Christine Fernandes, Fiuk","","",2021,"13+","97 min","Comedy","This heartfelt comedy about 2 reunited 1/2 brothers. Handsome but underemployed actor Júlio finds himself in need of a job & place to stay. Neurotic & lonely Beto is a successful soap opera writer who hasn't left his house in 8 years. When Júlio winds up on Beto's doorstep, they find themselves capable of reigniting old resentments, but also with the possibility to fulfill the other's dreams"
"The Family Tree","Jorge Ameer","Michael Joseph Nelson, Keith Roenke, Anais Lucia, Jorge Ameer, Torie Tyson, Freddy d'Elia","","",2020,"18+","132 min","LGBTQ, Romance","Victor has always loved the end of the year holiday celebrations and since he was young, he would create explosive life size dolls made from newspaper and fireworks to celebrate. However, this holiday season will prove unforgettable as Victor's latest creation comes to life to disrupt and enlighten him on the true meaning of love, friendship, and family."
"Spoken","Tenill Ransom","Chadwick Farley, Ebin Antony, Chelsea Ledsinger","","",2021,"16+","96 min","Horror, Suspense","A young Christian girl and her friends are vulnerable to demonic attack because of words spoken in their everyday conversations."
"Showdown at Shelby's Shack","Scott Hester","Heather Bash, Bill Capskas, Thomas Conklin","","",2019,"13+","71 min","Western","Sheriff Austin Shelby is determined to uncover the dangerous & deadly facts behind the Nellie Harper murder-for-hire plot. After an attempt on his own life, the Sheriff teams up with a mysterious U.S Marshal who has just arrived in town."
"Season for Love Songs","Vu Duc Thang","Isaac, Phan Ngan, Chi Tai","","",2018,"13+","107 min","Arts, Entertainment, and Culture, Comedy","To flee a public scandal, a humiliated musician hides in a seaside town where he meets a fiery bartender who sparks more than creative inspiration."
"Scarecrow County","John Oak Dalton","Iabou Windimere, Jeff Kirkendall, Erin R. Ryan, Marie DeLorenzo, Joni Durian","","",2019,"16+","75 min","Horror","A small-town librarian is gifted the lost diary of a dead teenager, exposing long buried secrets as a murderous scarecrow stalks the streets."
"Route 24","Rotimi Akanbi","Olu Akanbi, Leon Copeland, Courtney Turner, Roger Killian, Holden Bath, Linda Mesi","","",2020,"18+","99 min","Drama","In the nation of Nazir, an ex-convict returns home to a cynical world more imprisoning than the one he left."
"Remnants Of A Disaster","Roger Armstrong","Laura Donoughue, Waleed Khalid, Laura Louise Whitehurst, David Davies, Joshua Michaelson","","",2014,"16+","79 min","Horror, Science Fiction","Trapped in a hallucinogenic consciousness experiment run by a private security corporation a suicidal assassin battles her insane drug addicted partner, a psychopathic scientist and his deranged masked slaves for sanity, salvation and redemption. A psychedelic, experimental, micro-budget, sci-fi film shot in Northern England with a haunting synth soundtrack, 28 Days Later meets A Field In England."
"Rebirth","Rogers Conners","Roger Conners, Aswan Harris, Rachel Anderson, Alvin Hudson","","",2021,"18+","99 min","Drama, Horror, Suspense","What starts as a visit to their family grave-site quickly becomes a night of terror. Two brothers are forced to fight an onslaught zombies. Soon, eight strangers find themselves barricaded inside a farmhouse in an attempt for survival."
"Paranormal Doorways","Pia Justine Cruz","Margareta Moir, Morrison James, Michael Morley, Daniel Harpur, John Ward","","",2020,"16+","91 min","Suspense","When a teenage boy investigates the meaning of his dreams, he unlocks a doorway to the supernatural that begins to change his mother into something not of this earth."
"Papanasam","Jeethu Joseph","Kamal Haasan, Gautami, Niveda Thomas, Esther Anil, Asha Sarath, Kalabhavan Mani, Jagannathan","","",2015,"13+","172 min","Drama","Suyambulingam, a school drop-out but an intelligent man, acquires knowledge by watching movies. When a dark incident seems to ruin his family, he uses all his wits to protect them."
"Paagal","Naressh Kuppili","Vishwak Sen, Nivetha Pethuraj, Simran Choudhary, Megha Lekha, Rahul Ramakrishna","","",2021,"13+","136 min","Action, Drama, Romance","Prem is one kind of a guy who desperately searches for a girl to fall in love with, he proposes to every girl who comes across.  Ends up finding true love but tangled with challenges."
"Ouija Death Trap","Todd Sheets","Jessica Hopkins, William Christopher Epperson, Dakota Lassen, John O'Hara, Raven Reed","","",2014,"18+","74 min","Horror","Four high school students embark on a terrifying night in the haunted ShadowView Manor two years after a séance went horribly wrong."
"Neruppu Da","B. Ashok Kumar","Vikram Prabhu, Nikki Galrani, Sangeetha, Madhusudhan Rao, Vincent Asokan, Aadukalam Naren","","",2017,"ALL","122 min","Action, Suspense","Five childhood friends, who aspire to join the fire department, find themselves in a tight spot when one of them accidentally kills a local goon's henchman."
"My Summer As A Goth","Tara Johnson-Medinger","Natalie Shershow, Jack Levis, Rachelle Henry, Jonah Kersey, Natasha Duvall, Neil Green, Tristan Decker","","",2020,"13+","101 min","Comedy, Drama","A coming-of-age story about the sometimes painful-often entertaining-search for identity & love in adolescence. After the sudden death of her father, 16-year-old, Joey Javitts is sent to stay with her grandparents while her author mother promotes her latest novel. Joey promptly falls for the beguiling Goth boy next door, Victor, & is transformed by him and his merry band of misfits in black."
"My Dog The Space Traveler","Robin Christian","Logan Borsari, Santiago Craig, Chris Lemmon","","",2014,"13+","98 min","Kids, Science Fiction","A young boy loses his dog to an anomaly in his backyard, a portal which leads to another dimension of our universe. He must rely on his friends and dysfunctional family to get the dog back and close the portal before it creates a rift that might destroy both universes."
"Magalir Mattum","Bramma","Jyothika, Urvashi, Bhanupriya, Saranya Ponvannan, Nassar, Livingston","","",2017,"ALL","129 min","Comedy, Drama","Prabhavati, an independent documentary filmmaker, with the help of her friends takes her mother-in-law, Gomatha, on a surprise trip to reunite her with her school friends."
"Lift","Alexander Kaminer","YUMARIE MORALES, JOHAN STEIN","","",2016,"16+","100 min","Action","With the help of his conscience Jimmy, the unlikely hero. Misha finds the strength to overcome his ego and earn money using a ride-sharing app called LIFT, which sets him on an ethereal journey where he'll rediscover himself, find true love and finally realize his dream."
"Kombu","E Ibrahim","Lollu Sabha Jeeva, Disha Pandey, Ganja Karuppu, Pandiarajan","","",2020,"ALL","110 min","Horror","When a group of people venture into a haunted house, paranormal activity unfolds and evil is unleashed from deep within."
"Kin Dread","Adrian Leon","Ethan Smart, Corinna Harney Jones, Patrick Cupo, Elinor Gunn, Kevin Owyang, Isaiah Dell","","",2021,"16+","94 min","Horror, Suspense","An anti-social sound designer with retrograde amnesia discovers a string of murders in his building but when the carnage triggers memories of his mysterious past, he races to fill the gaps in his memory before it's too late."
"I Was A Greenhouse","Adrian Konstant","Derek Lackenbauer, Tanya Guelck, Anthony Tullo, Zach Parsons, Cassaundra Sloan, Lauryn Hall, Adam Oldfield","","",2013,"13+","106 min","Drama","A homeless musician, out of time, crashes into the lives of a struggling single parent family. As the bonds of love and friendship grow, so does the mystery of George Arlington and his red guitar. The battered vagabond finds himself the reluctant hero once again picking up his supernatural six string to save a family, taking him further and further from his own."
"I Am Norman","Arron Blake, Darius Shu","Arron Blake","","",2021,"18+","48 min","Drama, Horror, Suspense","A man living in his car takes a filmmaker into the woods to share a dark secret. Stay tuned at the end for behind the scenes and interview footage."
"Gunpoint","Jae Sinclair","Natasha Babic, Brandon Lamar, Guillermo Barreira Pérez, Asia Zaffere, Napoleon Williams III","","",2021,"18+","108 min","Suspense","A wealthy family is taken hostage in their luxury apartment by a lone gunman and subjected to psychological games that slowly unravel the truth behind the home invasion."
"Good but not great","Francesco Mandelli","Francesca Giordano, Shade, Yan Shevchenko, Gioele Dix, Ugo Conti, Euridice Axen, Gisella Donadoni, Giordano De Plano","","",2019,"16+","89 min","Comedy, Young Adult Audience","Candida is a fifteen year old from Terrasini, who lives with her father Salvo. When he loses his job, they leave for Turin. Candida has to integrate into the new school where she is bullied, as does her partner Jacopo. But thanks to her positivity, it will be Candida who will let Jacopo out of his isolation, making him discover that everything is fine, even when it is not very well."
"Furious Road","Jeff Leroy","Ryan Izay, Jasmine St. Clair, Isis Velazquez, Dana Brighton, Rocky Flor, Sudesh Managodage","","",2014,"18+","80 min","Action","An all-girl gang battle in the streets with a drug cartel in an attempt to secure territory north of Mexico while trying to avoid capture by police, and the vengeful wrath of a local vigilante."
"Food Club","Barbara Topsøe-Rothenborg","Stina Ekblad, Kirsten Olesen, Kirsten Lehfeldt, Trols Lyby, Mia Lyhne, Rasmus Botoft, Michele Venitucci","","",2021,"16+","100 min","Comedy, Drama, Romance","Three life long girlfriends travel to Italy together to attend a cooking course in Puglia, and here they each find the opportunity to redefine themselves."
"Fair Haven","Kerstin Karlhuber","Michael Grant, Tom Wopat, Jennifer Taylor, Josh Green","","",2017,"16+","92 min","Drama, LGBTQ, Young Adult Audience","A young man returns to his family farm, after a long stay in ex-gay conversion therapy, and is torn between the expectations of his emotionally distant father, and the memories of a past, loving relationship he has tried to bury."
"Deal With The Devil","Benjamin Thomas","Eric Wolfgang, Camille Marolf, James M Tweedie, Thom Murray, Don Brandon","","",2018,"18+","81 min","Horror","A desperate musician makes a deal with the devil in hopes of having all his earthly dreams come true. But when he is called upon to live up to his end of the Faustian bargain, he soon learns that this comes with a very steep price.("
"Countrycide","Brett Kelly","Robin Hodge, Joel Elliott, Peter Whittaker, Andrew Galligan, Trevor Payer","","",2021,"18+","69 min","Horror, Suspense","While on a road trip to a wedding, a young couple is forced to camp out for the night - and become prey to the wilderness, and something even more sinister."
"Chris Gethard: Half My Life","Kate Sweeney","Chris Gethard, Carmen Christopher","","",2021,"18+","54 min","Arts, Entertainment, and Culture, Comedy","This comedy special sees Chris Gethard deliver his blend of hard-hitting stand up and storytelling at small venues across the country at the end of 2019, with documentary footage that shows the reality of what life on the road is really like for a touring comedian."
"Casino.sk","Ján Sabol","Tereza Brodská, Lukás Dóza, Marek Geisberg","","",2019,"18+","105 min","Drama","The film not only shows stories that link to the casino but also to the stories of the outside world - the game as a lifestyle feeling from birth. Game and all its forms. Playing in the casino area is a game of its own. It is the essence of fun and relaxation, but also the sense of gambling. The world behind the walls, the outside world and therefore politics are the world of even bigger games."
"Brutal","Donald Lawrence Flaherty","Morgan Benoit, Jeff Hatch, David Mattey, Renata Green-Gaber, Stacy Jorgensen","","",2014,"18+","85 min","Action, Sports","Trevor, abducted from his backyard at the age of 15 by an unseen alien presence. Forced into nearly two decades of no-holds-barred fights against other abductees inside an unearthly mixed martial arts arena, Trevor has evolved from an innocent boy into a brutal fighting machine. Derek, an ambulance chasing lawyer, is the latest lab-rat abductee forced to fight Trevor."
"Bickerman's Grove","Adrian Konstant","Bob Cook, Derek Lackenbauer, Anthony Tullo, Angela Duscio, Zach Parsons, Shay Galor, Tanya Guelck, Adrian Konstant, Michael Wurtz, Adam Oldfield, Peter Campbell, Greg Johnson","","",2016,"13+","86 min","Comedy, Drama","Tucker Herman won't light the tree at this year's ceremony, but rather will 'pass the torch' to his family. A dark scheme is hatched pitting families against one another, the victor inheriting a fortune. Comedy ensues as the families entwine in each other's lives and ultimately deaths. As ghosts they must get along before the tree is lit, or be forced to repeat the scenario in purgatory forever."
"Attack Of The Demons","Eric Power","Andreas Petersen, Thomas Petersen, Katie Maguire, Eric Power","","",2020,"16+","75 min","Animation, Horror","For centuries, a demonic cult has been plotting world destruction. When a small Colorado town is overrun by a legion of mutating demons, three non demon hunter friends must use every skill their minds can fathom to stave off the demon apocalypse."
"Astro Loco","Aaron McJames","David Argue, Jon Reep, Hayley Dallimore, Frank Handrum, Dasha Naumova, Nick Sun, Darren Casey","","",2021,"16+","92 min","Science Fiction","An inquisitive ship computer tasked with overseeing safe interplanetary voyage of the crew must cultivate a deeper sense of humanity in order to be effective amid the maniacal spread of cabin fever."
"Apocalypse A Go Go","Savannah Gisleson","Bridget Anderson, Michael Kauffman, Savannah Gisleson","","",2021,"18+","86 min","Comedy, Romance","On the night of a solar flare predicted to destroy the earth, five strangers with nowhere to go and no one to be with gather in one house for an Apocalypse Party. With a wide array of personalities attending, The Host oversees the gathering as the attendees take tours through each other's memories, divulging intimate secrets and past lives."
"Ape vs. Monster","Daniel Lusko","Eric Roberts, Arianna Scott, Katie Sereika, Shayne Hatigan","United States","",2021,"16+","88 min","Science Fiction","An ape, lost in space, crash-lands back to Earth. The vessel oozes a sludge that triggers massive growth in both the ape, as well as a passing Gila monster. Their paths cross again, leading to a giant brawl."
"Angel Mountain","Karen Schuback","Daniel Grogan, Caroline Amiguet, Megan Elizabeth Barker, Aiden Anderson, Andrew J Jackson","","",2021,"16+","104 min","Drama","In the early 1950's, sixteen- year-old Jimmy Hoffer and his two siblings do their best to survive poverty, a crumbling family unit, and endless obstacles that will eventfully destroy everything they know."
"Amalia in the Fall","Anna Utrecht, Octavio Lasheras","María José Alfonso, Manuel Zarzo, Máximo Valverde, María Gracia, Tony Antonio, Pablo Castañón, Saturnino García","","",2021,"13+","78 min","Drama","Amalia has been a widow for 10 years. She just turned 77 and lives alone. Her daughter, Isabel, is worried about her so she decides, against her will, to intern her in a residence. Amalia discovers with surprise that her life there is not as she thought. After a few days, Isabel returns to the residence to see her mother and shortly after, Covid-19 appears in everyone's lives."
"60 Vayadu Maaniram","Radha Mohan","Prakash Raj, Vikram Prabhu, Samuthirakani, Indhuja, Ravichandran","","",2018,"13+","127 min","Drama","An ambitious son sets out to find his missing father, who suffers from memory loss, with the help of two people."
"25 Sets","Matt O'Dowd","Aaron Berg, Jim Gaffigan, Sal Vulcano, Dave Attell, Janeane Garofalo, Big Jay Oakerson, Ari Shaffir","","",2019,"18+","58 min","Arts, Entertainment, and Culture, Comedy, Documentary","Aaron Berg is one of the hardest working comics in New York City. As everyone who's anyone in NYC will attest, it is only fitting that he set out to break the world record for most comedy sets in one night."
"Taana","Yuvaraj Subramani","Vaibhav, Nandita Swetha, Yogi Babu, Pandiarajan","","",2020,"13+","117 min","Comedy","Shaktivel, a young man, wishes to become a police officer. However, he faces many challenges in his quest due to a speech disorder, which turns his voice feminine when he is nervous."
"Unfollower","Julie Crisante","Dan Davidson, Marty Lindsey","","",2021,"16+","91 min","Suspense","When a self-conscious fitness instructor named Jo becomes the victim of cyber-stalking that turns physical, she must use her fitness skill and growing fight instinct to stay alive."
"The Unknown","Domben Chisom","Adaeze Eluke Stephen Odimgbe Domben Chisom","","",2021,"16+","71 min","Drama","She was murdered right in her bedroom, she loved him, they were the best couple ever, he loved her dearly but yet, he is the only suspect, who murdered the barrister?"
"Slashlorette Party","Paul Ragsdale","Ginger Lynn Allen, Drew Marvick, Daniel James Moody, Nina Lanee Kent, Andrew Brown, Molly Souza, Brooke Morris, Shalene Prasad, Vanessa Mata, Katee Hudson, Devin March, Luis Maya, Kyle Wiesner, Krystal Shay, Jessica Bertrand, Jasmine March, Robert Holloway","","",2021,"18+","79 min","Horror","An anxious young woman is taken to a cabin in the woods to celebrate her bachelorette party. The fun and games are cut short when an uninvited guest begins killing off the wedding party, one by one."
"Say Your Prayers","Harry Michell","Harry Melling, Tom Brooke, Derek Jacobi, Anna Maxwell Martin, Roger Allam, Vinette Robinson","","",2021,"16+","85 min","Comedy, Drama, Suspense","Two orphaned brothers turned radical Christian hitmen venture to rural Ilkley under the instruction of Father Enoch. Their mission: assassinate Professor John Huxley, famed atheist writer."
"From the Depths","Jose Montesinos (Frenzy)","Liz Fenning, Angelica Briones","","",2021,"16+","85 min","Horror, Science Fiction, Suspense","After surviving a shark attack a young woman is plagued by nightmares of being stalked in the dark sea by a ravenous predator, and hallucinations of visits from her sister and partner, both who were killed in the attack."
"FLESH","Nikk Bergman","Amanda Denney, Rozz Ohlin, Katie Wimmer, Sydney Barnes, Shane Massicotte","","",2021,"18+","70 min","Horror","After a young woman is forced to take part in a strange ritual, her body begins to change. She grows fangs and claws and begins to have weird cravings and hallucinations. Her life quickly crumbles around her as she struggles to figure out what is happening to her before it's too late. This visually striking psychological, body horror creature feature proves you aren't what you eat..."
"Final Stop","Jeffrey J. Moore","Vince Rodriguez, Kelly McCart, Kamy D. Bruder, Caroline Stella, Sheila Guerrero-Edmiston, Garrett Marchbank, Lyric Michelle, David W. Buck, Alex Tait, Christopher Hazel, Travis Sanchez, Soly Asmar, Ariana Popa, Isabella Popa, Norman Gidney, JJ Coppola, Colter Harkins, Cynthia Asmar, Melvin Sanders, Justin Gardner, Laura Legan, Matthew Lindblad, Erik J. Swisher, Jeffrey J. Moore, Elizabeth Mevis, John Pendergast, Patrice Dipitro, Kevin Horton, Andy Moore, Justin Castillo, Maxwell McAllister","","",2021,"16+","89 min","Romance, Suspense","Jesus, A Uride driver, is confronted by years of pent up trauma and unresolved emotional damage when he meets the love of his life and her abusive boyfriend. Final Stop is a story about love, abuse, and what happens when they meet."
"Conscripted","PAUL APEL PAPEL (DGN)","IKPONMWOSA AIK ODIASE ONAH CHINYERE OKORIE PREACH BASSEY SUNNY WILLIAMS","","",2021,"16+","97 min","Drama","With the alarming spate of bombings in the country, stakeholders had no option than to set up an elite squad to tackle the menace headlong."
"Boycie in Belgrade","Lazar Vukovic","John Challis","","",2021,"ALL","79 min","Comedy","Join John Challis on his journey to Belgrade, Serbia, where he aims to uncover why 'Only Fools and Horses' is so popular in the country. From a Royal Palace, to a brandy distillery. A must watch for any fan of Only Fools and Horses."
"Aashiqui 2","Mohit Suri","Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya, Chitrak Bandyopadhyay, Bugs Bhargava, Ashish Bhatt, Gagan Gupta, Shubhangi Latkar, Soumyajit Majumdar, Nickk, Milind Phatak, Shekhar Shukla, Mahesh Thakur","India","",2013,"ALL","127 min","International, Romance","Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star."
"Writing Kim","Luvia Petersen, Alison Ward","","","",2021,"16+","78 min","Drama","Destee Klyne stars as a young aspiring writer who begins to fall for her free-spirited best friend Kimberly, who already has a husband and son. Annie, an aspiring writer, travels cross country to visit her her affluent, older, married friend Kim. As Annie's informal writer's retreat unfolds, she is increasingly inspired and intrigued by Kim's charismatic charm and fluid sexuality."
"War Of The God Monsters","Kim Jeong-Yong","","","",2021,"13+","87 min","Science Fiction","Dr. Kim believes ancient dinosaurs are waking up due to global warming rapidly melting the glaciers where they have slept for thousands of years. A reporter, named Kang Ok-hee, discovers his hideout and infiltrates his home in the guise of a housekeeper. When gigantic creatures start to appear on the mainland, causing massive destruction, they must find a way to save themselves, and the world."
"The Infernal Walker","Ka Fai Wong","Kenneth Chan, Pak-ho Chau, Shiga Lin, Ray Lui, Michael Tse","","",2020,"13+","90 min","Action, Drama","Fuk Wor Triad member Ting and Senior Inspector Tuen of the Regional Anti Triad Unit are moles that have been planted by the rival party. Whereas for Tuen - the soon-to-be youngest-ever chief inspector, wishes to start off his new chapter in life with a clean slate and free from his inglorious past. Peace and justice are long-overdue for the two, but the step towards it could prove fatal."
"The Crew","Nikolay Lebedev","Danila Kozlovsky, Vladimir Mashkov, Agne Grudite, Sergey Kempo, Katerina Shpitsa","","",2016,"16+","123 min","Action, Drama","A young pilot is fired from military air force after disobeying an absurd order. He gets a job as a co-pilot with a civil airline. During a flight to Asia his crew receives a distress message from a volcanic island and makes a decision to attempt a rescue mission. Will they survive the disaster? They have a single chance to find that out: by being a team and sticking up for one another."
"Raunch and Roll","Phil Wurtzel","Penelope Alex, Michael Paré, Sarah Lazar, Lance Barber, Steve Wilder, Eric Petersen, Kristen Dalton, Robert Newman, William McNamara, Roz McHenry","","",2021,"16+","107 min","Drama, Music Videos and Concerts","Before her lights go out Roxy Starr (Penelope Alex) and her manager (Michael Paré) get the band together for one more show."
"Project Gutenberg","Felix Chong","Yun-Fat Chow, Aaron Kwok, Jingchu Zhang, Catherine Chau, Wenjuan Feng","","",2018,"13+","126 min","Action, Suspense","The Hong Kong police are hunting a counterfeiting gang led by a mastermind code-named ""Painter"". In order to crack the true identity of him, the police recruits gang member Lee Man to unmask ""Painter's"" secret identity."
"Paper Dragons","Jason Hawkins","Sam Brittan, Cisco Keanu, Kristie Carter, Jason Reynolds, Eileen Dietz, Ally Jones, Abie Ekenezar, Elizabeth Champion, Cody Epling, Brent Kublick","","",2021,"16+","99 min","Drama, Suspense","A middle-aged single father has endured one too many bad days. Today, his frustration and bitterness becomes evident resulting in violence."
"Mubutu's African Movie Theater: Episode 6","Prince Mabutu Nayabingi","","","",2021,"18+","70 min","Action","Delve into the lives, loves and losses in this binge worthy African Theater Drama written by none other than Mobutu. This series of African Films based on real life citizens of the continent will leave you on wit's end begging for more. Family, marriage and adultery, this dramatic episode of Mobutu's African theater has it all!"
"Mask Of Thorn","MJ Dixon","","","",2021,"18+","108 min","Horror","Bethany has struggled to fit in her whole life. That is, until Avondale's popular kids kidnap her for a surprise birthday party. What they don't realize is that she is the target of a monster known as 'Thorn' and tonight he's coming for her and nothing will stand in his way. The Bloodletting Behemoth cuts his way through the small town in search of Bethany, and only one person can stop him."
"Leap","Peter Ho-Sun Chan","Li Gong, Bo Huang, Gang Wu, Yuchang Peng, Bai Lang","","",2020,"13+","135 min","Drama","After 12 years, the Chinese women's volleyball team again reached the Olympic final. The ups and downs of the Chinese women's volleyball team for more than three decades have slowly spread away."
"In The Moon's Shadow","Alvin Case","Elissa Piszel, Debra Lord Cooke, Jules Hartley, Faith Wilson, Sean P. Scully","","",2021,"13+","81 min","Drama, Kids","Two estranged sisters amid tragedy unlock the truth to family secrets on a self-reflecting journey to see the Great American Eclipse."
"Highway 13","William Berke","","","",2021,"7+","59 min","Action, Suspense","B-movie classic filmed in 3 Days! It's murder on wheels when a trucking company loses several vehicles in a series of mysterious crashes – and a company honcho dies in a road accident that is equally inexplicable. Company driver Robert Lowery soon finds himself enmeshed in the whodunit, which involves a café truck stop, an ex-gangster mechanic and indications of sabotage."
